
TEST CASES
case	A	B	C	D	E	F	G	pairings
1	A1	B1	C1	D1	E1	F1	G1	21
2	A2	B1	C2	D2	E2	F2	G2	21
3	A1	B1	C3	D2	E3	F3	G3	19
4	A2	B1	C4	D1	E3	F1	G2	14
5	A2	~B1	C1	D1	E1	F2	G3	10
6	A1	~B1	C2	D1	E2	F3	G1	10
7	A2	~B1	C3	D2	E1	F1	G1	8
8	A1	~B1	C4	D2	E3	F2	G1	8
9	A1	~B1	C1	D2	E1	F3	G2	7
10	~A1	~B1	C3	D1	E2	F1	G3	5
11	A2	~B1	C2	~D1	E3	F3	G3	3
12	~A2	~B1	C4	~D2	E2	F3	G3	3
13	~A1	~B1	C2	~D2	E1	F1	~G2	2
14	~A2	~B1	C3	~D1	~E2	F2	G2	2
15	~A2	~B1	C1	~D2	E3	~F2	~G1	1
16	~A1	~B1	C4	~D1	E1	~F2	~G3	1
17	~A1	~B1	C1	~D2	E2	~F1	~G2	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
C	F	C1	F1	2	1, 17
C	F	C1	F2	2	5, 15
C	F	C1	F3	1	9
C	F	C2	F1	1	13
C	F	C2	F2	1	2
C	F	C2	F3	2	6, 11
C	F	C3	F1	2	7, 10
C	F	C3	F2	1	14
C	F	C3	F3	1	3
C	F	C4	F1	1	4
C	F	C4	F2	2	8, 16
C	F	C4	F3	1	12
C	G	C1	G1	2	1, 15
C	G	C1	G2	2	9, 17
C	G	C1	G3	1	5
C	G	C2	G1	1	6
C	G	C2	G2	2	2, 13
C	G	C2	G3	1	11
C	G	C3	G1	1	7
C	G	C3	G2	1	14
C	G	C3	G3	2	3, 10
C	G	C4	G1	1	8
C	G	C4	G2	1	4
C	G	C4	G3	2	12, 16
C	E	C1	E1	3	1, 5, 9
C	E	C1	E2	1	17
C	E	C1	E3	1	15
C	E	C2	E1	1	13
C	E	C2	E2	2	2, 6
C	E	C2	E3	1	11
C	E	C3	E1	1	7
C	E	C3	E2	2	10, 14
C	E	C3	E3	1	3
C	E	C4	E1	1	16
C	E	C4	E2	1	12
C	E	C4	E3	2	4, 8
